Round 1
[Aug 8]
Manchester U  1-0 Tottenham     
Bournemouth   0-1 Aston Villa   
Everton       2-2 Watford       
Leicester     4-2 Sunderland    
Norwich       1-3 Crystal P     
Chelsea       2-2 Swansea       
[Aug 9]
Arsenal       0-2 West Ham      
Newcastle     2-2 Southampton   
Stoke         0-1 Liverpool     
[Aug 10]
West Bromwich 0-3 Manchester C  
Round 2
[Aug 14]
Aston Villa   0-1 Manchester U  
[Aug 15]
Southampton   0-3 Everton       
Sunderland    1-3 Norwich       
Swansea       2-0 Newcastle     
Tottenham     2-2 Stoke         
Watford       0-0 West Bromwich 
West Ham      1-2 Leicester     
[Aug 16]
Crystal P     1-2 Arsenal       
Manchester C  3-0 Chelsea       
[Aug 17]
Liverpool     1-0 Bournemouth   
Round 3
[Aug 22]
Manchester U  0-0 Newcastle     
Crystal P     2-1 Aston Villa   
Leicester     1-1 Tottenham     
Norwich       1-1 Stoke         
Sunderland    1-1 Swansea       
West Ham      3-4 Bournemouth   
[Aug 23]
West Bromwich 2-3 Chelsea       
Everton       0-2 Manchester C  
Watford       0-0 Southampton   
[Aug 24]
Arsenal       0-0 Liverpool     
Round 4
[Aug 29]
Newcastle     0-1 Arsenal       
Bournemouth   1-1 Leicester     
Aston Villa   2-2 Sunderland    
Chelsea       1-2 Crystal P     
Liverpool     0-3 West Ham      
Manchester C  2-0 Watford       
Stoke         0-1 West Bromwich 
Tottenham     0-0 Everton       
[Aug 30]
Southampton   3-0 Norwich       
Swansea       2-1 Manchester U  
Round 5
[Sep 12]
Everton       3-1 Chelsea       
Arsenal       2-0 Stoke         
Crystal P     0-1 Manchester C  
Norwich       3-1 Bournemouth   
Watford       1-0 Swansea       
West Bromwich 0-0 Southampton   
Manchester U  3-1 Liverpool     
[Sep 13]
Sunderland    0-1 Tottenham     
Leicester     3-2 Aston Villa   
[Sep 14]
West Ham      2-0 Newcastle     
Round 6
[Sep 19]
Chelsea       2-0 Arsenal       
Bournemouth   2-0 Sunderland    
Aston Villa   0-1 West Bromwich 
Newcastle     1-2 Watford       
Stoke         2-2 Leicester     
Swansea       0-0 Everton       
Manchester C  1-2 West Ham      
[Sep 20]
Tottenham     1-0 Crystal P     
Liverpool     1-1 Norwich       
Southampton   2-3 Manchester U  
Round 7
[Sep 26]
Tottenham     4-1 Manchester C  
Leicester     2-5 Arsenal       
