"Week","Team","Points","Home","Cumulative"
1,"Arsenal",3,"Home",3
1,"Crystal Palace",0,"Away",0
1,"Leicester",1,"Home",1
1,"Everton",1,"Away",1
1,"Manchester United",0,"Home",0
1,"Swansea",3,"Away",3
1,"QPR",0,"Home",0
1,"Hull",3,"Away",3
1,"Stoke",0,"Home",0
1,"Aston Villa",3,"Away",3
1,"West Bromwich",1,"Home",1
1,"Sunderland",1,"Away",1
1,"West Ham",0,"Home",0
1,"Tottenham",3,"Away",3
1,"Liverpool",3,"Home",3
1,"Southampton",0,"Away",0
1,"Newcastle",0,"Home",0
1,"Manchester City",3,"Away",3
1,"Burnley",0,"Home",0
1,"Chelsea",3,"Away",3
2,"Aston Villa",1,"Home",4
2,"Newcastle",1,"Away",1
2,"Chelsea",3,"Home",6
2,"Leicester",0,"Away",1
2,"Crystal Palace",0,"Home",0
2,"West Ham",3,"Away",3
2,"Everton",1,"Home",2
2,"Arsenal",1,"Away",4
2,"Southampton",1,"Home",1
2,"West Bromwich",1,"Away",2
2,"Swansea",3,"Home",6
2,"Burnley",0,"Away",0
2,"Hull",1,"Home",4
2,"Stoke",1,"Away",1
2,"Sunderland",1,"Home",2
2,"Manchester United",1,"Away",1
2,"Tottenham",3,"Home",6
2,"QPR",0,"Away",0
2,"Manchester City",3,"Home",6
2,"Liverpool",0,"Away",3
3,"Burnley",1,"Home",1
3,"Manchester United",1,"Away",2
3,"Everton",0,"Home",2
3,"Chelsea",3,"Away",9
3,"Manchester City",0,"Home",6
3,"Stoke",3,"Away",4
3,"Newcastle",1,"Home",2
3,"Crystal Palace",1,"Away",1
3,"QPR",3,"Home",3
3,"Sunderland",0,"Away",2
3,"Swansea",3,"Home",9
3,"West Bromwich",0,"Away",2
3,"West Ham",0,"Home",3
3,"Southampton",3,"Away",4
3,"Aston Villa",3,"Home",7
3,"Hull",0,"Away",4
3,"Leicester",1,"Home",2
3,"Arsenal",1,"Away",5
3,"Tottenham",0,"Home",6
3,"Liverpool",3,"Away",6
4,"Arsenal",1,"Home",6
4,"Manchester City",1,"Away",7
4,"Chelsea",3,"Home",12
4,"Swansea",0,"Away",9
4,"Crystal Palace",1,"Home",2
4,"Burnley",1,"Away",2
4,"Liverpool",0,"Home",6
4,"Aston Villa",3,"Away",10
