"Week","Team","Points","Home","Cumulative"
1,"Manchester United",3,"Home",3
1,"Tottenham",0,"Away",0
1,"Bournemouth",0,"Home",0
1,"Aston Villa",3,"Away",3
1,"Everton",1,"Home",1
1,"Watford",1,"Away",1
1,"Leicester",3,"Home",3
1,"Sunderland",0,"Away",0
1,"Norwich",0,"Home",0
1,"Crystal Palace",3,"Away",3
1,"Chelsea",1,"Home",1
1,"Swansea",1,"Away",1
1,"Arsenal",0,"Home",0
1,"West Ham",3,"Away",3
1,"Newcastle",1,"Home",1
1,"Southampton",1,"Away",1
1,"Stoke",0,"Home",0
1,"Liverpool",3,"Away",3
1,"West Bromwich",0,"Home",0
1,"Manchester City",3,"Away",3
2,"Aston Villa",0,"Home",3
2,"Manchester United",3,"Away",6
2,"Southampton",0,"Home",1
2,"Everton",3,"Away",4
2,"Sunderland",0,"Home",0
2,"Norwich",3,"Away",3
2,"Swansea",3,"Home",4
2,"Newcastle",0,"Away",1
2,"Tottenham",1,"Home",1
2,"Stoke",1,"Away",1
2,"Watford",1,"Home",2
2,"West Bromwich",1,"Away",1
2,"West Ham",0,"Home",3
2,"Leicester",3,"Away",6
2,"Crystal Palace",0,"Home",3
2,"Arsenal",3,"Away",3
2,"Manchester City",3,"Home",6
2,"Chelsea",0,"Away",1
2,"Liverpool",3,"Home",6
2,"Bournemouth",0,"Away",0
3,"Manchester United",1,"Home",7
3,"Newcastle",1,"Away",2
3,"Crystal Palace",3,"Home",6
3,"Aston Villa",0,"Away",3
3,"Leicester",1,"Home",7
3,"Tottenham",1,"Away",2
3,"Norwich",1,"Home",4
3,"Stoke",1,"Away",2
3,"Sunderland",1,"Home",1
3,"Swansea",1,"Away",5
3,"West Ham",0,"Home",3
3,"Bournemouth",3,"Away",3
3,"West Bromwich",0,"Home",1
3,"Chelsea",3,"Away",4
3,"Everton",0,"Home",4
3,"Manchester City",3,"Away",9
3,"Watford",1,"Home",3
3,"Southampton",1,"Away",2
3,"Arsenal",1,"Home",4
3,"Liverpool",1,"Away",7
4,"Newcastle",0,"Home",2
4,"Arsenal",3,"Away",7
4,"Bournemouth",1,"Home",4
4,"Leicester",1,"Away",8
4,"Aston Villa",1,"Home",4
4,"Sunderland",1,"Away",2
4,"Chelsea",0,"Home",4
4,"Crystal Palace",3,"Away",9
4,"Liverpool",0,"Home",7
4,"West Ham",3,"Away",6
4,"Manchester City",3,"Home",12
4,"Watford",0,"Away",3
4,"Stoke",0,"Home",2
4,"West Bromwich",3,"Away",4
4,"Tottenham",1,"Home",3
4,"Everton",1,"Away",5
4,"Southampton",3,"Home",5
4,"Norwich",0,"Away",4
4,"Swansea",3,"Home",8
4,"Manchester United",0,"Away",7
5,"Everton",3,"Home",8
5,"Chelsea",0,"Away",4
5,"Arsenal",3,"Home",10
5,"Stoke",0,"Away",2
5,"Crystal Palace",0,"Home",9
5,"Manchester City",3,"Away",15
5,"Norwich",3,"Home",7
5,"Bournemouth",0,"Away",4
5,"Watford",3,"Home",6
5,"Swansea",0,"Away",8
5,"West Bromwich",1,"Home",5
5,"Southampton",1,"Away",6
5,"Manchester United",3,"Home",10
5,"Liverpool",0,"Away",7
5,"Sunderland",0,"Home",2
5,"Tottenham",3,"Away",6
5,"Leicester",3,"Home",11
5,"Aston Villa",0,"Away",4
5,"West Ham",3,"Home",9
5,"Newcastle",0,"Away",2
6,"Chelsea",3,"Home",7
6,"Arsenal",0,"Away",10
6,"Bournemouth",3,"Home",7
6,"Sunderland",0,"Away",2
